USER_KEY,TERRITORY,AGE,SHOOTER_SESSIONS,MOBA_SESSIONS,OPEN_WORLD_SESSIONS,OTHER_SESSIONS,SHOOTER_GAMETIME,MOBA_GAMETIME,OPEN_WORLD_GAMETIME,OTHER_GAMETIME,EUR_MONETIZED,VC_SPENT
8699630,US,23,1,0,2,0,262,0,748,0,1.89,227
3916997,BRAZIL,29,47,65,0,26,252078,199115,0,299721,0.0,3626
4697670,EUROPE,21,2,0,2,0,594,0,825,0,1.84,358
5684630,EUROPE,35,57,0,1,0,1100317,0,4786,0,6.46,12900
7452409,EUROPE,39,0,0,75,0,0,0,599199,0,0.0,4611
4951998,BRAZIL,28,53,57,0,40,250257,200022,0,299655,0.0,2787
2109034,US,35,55,0,2,0,1100175,0,1279,0,5.74,12291
9911695,EUROPE,46,0,0,67,0,0,0,599592,0,9.46,5098
8638634,ASIA,44,35,7,21,12,300425,100473,70890,19646,29.55,7187
1513513,RUSSIA,18,2,0,0,0,773,0,0,0,1.56,378
3322176,RUSSIA,23,46,65,0,26,249451,199686,0,298935,0.0,687
2182659,ASIA,18,0,0,0,1,0,0,0,164,5.01,308
9183154,BRAZIL,28,48,61,0,25,248949,198312,0,299678,0.0,1094
5523315,EUROPE,33,29,13,19,11,299388,100285,69198,20360,30.0,8305
6509831,EUROPE,33,28,9,22,8,299123,99271,70763,19339,22.85,6580
5684835,EUROPE,19,0,0,2,0,0,0,27,0,0.0,357
2658899,EUROPE,24,0,0,1,0,0,0,105,0,0.0,389
3166307,RUSSIA,19,2,0,2,0,522,0,32,0,0.0,281
8983910,EUROPE,31,64,0,1,0,1099771,0,801,0,0.0,14684
8758491,EUROPE,19,1,0,1,0,90,0,651,0,0.0,339
2260458,EUROPE,20,1,0,2,0,496,0,177,0,0.0,215
8872060,ASIA,18,0,0,1,0,0,0,593,0,0.0,407
9577087,RUSSIA,24,49,64,0,30,250746,199638,0,298586,0.0,1576
1080390,EUROPE,32,23,9,10,8,300024,99792,70394,19835,0.0,6841
5637463,US,23,2,0,1,0,40,0,346,0,2.12,274
8851806,BRAZIL,23,46,59,0,28,249197,200247,0,299389,0.0,2845
5325859,ASIA,20,2,0,0,0,685,0,0,0,0.0,202
9114378,BRAZIL,20,0,0,0,1,0,0,0,242,3.1,261
8219782,BRAZIL,20,55,54,0,34,250948,200097,0,300499,0.0,1415
8100788,RUSSIA,27,43,75,0,30,250217,200785,0,300556,0.0,1091
3429669,ASIA,22,1,0,2,0,652,0,744,0,1.29,327
7075739,EUROPE,40,0,0,80,0,0,0,599224,0,6.17,5798
6803285,EUROPE,21,2,0,1,0,582,0,644,0,0.0,378
3486903,US,24,2,0,1,0,313,0,860,0,0.0,157
1074695,US,37,58,0,0,1,1100593,0,0,533,0.0,12715
2495977,ASIA,24,1,0,1,0,416,0,239,0,0.0,232
4376876,US,40,34,17,15,10,300810,100978,68908,19658,9.71,8815
4255429,US,32,56,0,1,0,1099897,0,3970,0,27.62,13325
2183398,EUROPE,18,1,0,2,0,618,0,160,0,0.0,405
8474840,US,24,2,0,2,0,177,0,283,0,0.0,341
7645664,EUROPE,38,0,0,67,0,0,0,598795,0,0.0,3550
2216614,US,31,53,0,0,0,1097918,0,0,0,35.31,13071
7953121,EUROPE,20,1,0,1,0,529,0,705,0,1.01,337
1267648,US,18,0,0,2,0,0,0,782,0,0.0,320
5106261,BRAZIL,18,39,61,0,31,250817,200543,0,298643,0.66,3443
6882528,ANTARCTICA,21,3,42,2,0,559,1000655,330,0,0.66,10664
5855699,BRAZIL,31,55,52,0,28,249066,201559,0,298057,0.0,2641
3630225,US,420,1,42,0,0,1457,1000684,0,0,2.83,9387
9319702,RUSSIA,20,0,0,0,1,0,0,0,91,2.76,266
6861040,BRAZIL,23,41,61,0,37,251960,200160,0,300561,0.0,3175
8315844,BRAZIL,20,50,58,0,28,249567,199933,0,299764,1.83,1753
6640192,RUSSIA,20,2,0,2,0,364,0,586,0,0.0,340
7612969,BRAZIL,23,57,66,0,39,249204,200634,0,300700,0.74,1923
9399465,RUSSIA,19,56,57,0,31,249105,200048,0,300098,0.0,1881
6273639,EUROPE,20,2,1,1,0,257,395,674,0,0.0,373
6563250,BRAZIL,21,2,0,1,0,51,0,9,0,1.4,457
8642977,US,20,2,1,0,0,13,313,0,0,1.08,425
8048153,EUROPE,30,79,0,1,0,1100316,0,4748,0,20.27,12627
7361929,EUROPE,46,25,8,29,10,299286,100100,69840,20154,5.31,6247
6733092,EUROPE,34,65,2,1,0,1098800,1766,3744,0,3.55,13111
5393283,EUROPE,36,0,0,48,0,0,0,599178,0,0.0,3003
4657268,BRAZIL,23,48,59,0,32,249397,200784,0,299350,0.0,3231
1500999,US,20,1,0,1,0,618,0,280,0,0.0,366
5001103,US,29,72,0,2,0,1099857,0,2042,0,0.0,12096
2845811,EUROPE,35,38,7,18,6,299329,101471,70850,19932,17.38,6889
6743120,RUSSIA,30,59,61,0,27,248790,201415,0,301211,0.0,2036
3244129,RUSSIA,20,45,62,0,37,250640,201613,0,301512,0.59,3080
1930190,BRAZIL,32,52,46,0,39,249490,200461,0,300788,0.63,2091
6901576,US,19,0,0,2,0,0,0,107,0,0.0,307
3939017,ANTARCTICA,69,0,30,0,1,0,1000310,0,722,0.71,8676
8654160,BRAZIL,27,47,65,0,37,249071,199815,0,299208,0.0,1863
7415288,ASIA,19,1,0,1,0,605,0,459,0,1.16,313
2675307,EUROPE,33,46,0,2,0,1099328,0,4013,0,15.67,11884
5362814,BRAZIL,23,1,0,2,0,701,0,817,0,0.0,334
9168333,EUROPE,47,0,0,77,0,0,0,600364,0,0.0,3507
4033994,US,21,1,0,2,0,750,0,747,0,0.0,298
1132743,EUROPE,37,0,0,72,0,0,0,599624,0,5.09,3532
8693841,BRAZIL,24,41,62,0,27,251116,200189,0,299886,0.0,3234
6621455,RUSSIA,28,48,66,0,34,250806,200239,0,299662,0.0,2664
7624767,RUSSIA,69,1,28,0,1,2399,1000592,0,330,4.34,9709
4333535,BRAZIL,22,2,0,1,0,286,0,49,0,1.03,339
3360414,RUSSIA,19,51,55,0,25,249301,199960,0,299912,0.52,815
6427599,BRAZIL,21,52,65,0,23,248532,200772,0,300491,0.0,2157
8608820,US,37,71,0,0,0,1101139,0,0,0,0.0,12708
8309296,RUSSIA,32,45,71,0,18,249763,199845,0,297039,0.0,1170
4284463,US,22,2,0,1,0,613,0,203,0,0.0,360
6743878,RUSSIA,18,0,0,0,1,0,0,0,115,1.48,371
3441517,RUSSIA,36,67,0,0,1,1099062,0,0,598,8.11,13325
3014749,EUROPE,20,1,0,2,0,475,0,509,0,0.0,279
6539023,US,20,0,0,1,0,0,0,293,0,0.0,255
8238321,BRAZIL,21,0,0,2,0,0,0,443,0,1.03,451
3389559,US,35,30,11,26,11,299623,99422,68345,19760,48.29,6730
3408871,BRAZIL,28,45,53,0,28,249630,201478,0,297891,0.62,2197
3012618,US,25,28,9,17,9,299022,99960,70977,19898,22.59,8630
8159308,US,31,63,2,1,0,1098685,322,1022,0,16.25,11502
9216006,US,20,1,0,1,0,653,0,708,0,0.0,396
1160737,ANTARCTICA,69,3,39,0,0,768,999857,0,0,2.07,8998
2038259,US,24,0,0,1,0,0,0,33,0,0.0,267
8930114,RUSSIA,20,1,0,1,0,427,0,861,0,0.0,253
5670146,US,21,0,0,0,1,0,0,0,57,0.0,255
6180066,ASIA,21,2,0,2,0,248,0,810,0,0.0,336
3059362,ANTARCTICA,69,2,41,0,0,1876,999449,0,0,5.6,10390
3013227,RUSSIA,27,48,71,0,26,248198,197746,0,298719,0.0,2561
2568850,BRAZIL,25,45,54,0,24,250235,200125,0,300596,0.89,2717
7381641,EUROPE,35,55,0,0,0,1099028,0,0,0,0.0,13092
2316347,ASIA,18,2,0,2,0,358,0,478,0,3.1,229
8525234,EUROPE,22,2,0,1,0,27,0,827,0,0.0,303
6621287,ASIA,29,66,0,1,0,1098790,0,396,0,0.0,15145
8698045,US,47,0,0,59,0,0,0,599696,0,0.0,3992
5665004,EUROPE,45,0,0,75,0,0,0,600218,0,7.59,4353
